network,seed,case_id,swap_rate,lp_dice_gap,merged_dice,split_dice,swap_voxels,has_swap
nnunet_2d_condlr,20260521,136518_122095,0.000000,0.000029,0.970817,0.970788,0,0
nnunet_2d_condlr,20260521,133140_114338,0.000000,0.000053,0.961480,0.961426,0,0
nnunet_2d_condlr,20260521,136032_122089,0.000000,-0.000093,0.966176,0.966269,0,0
nnunet_2d_condlr,20260521,136514_122984,0.000000,-0.000085,0.963926,0.964012,0,0
nnunet_2d_condlr,20260521,146478_111610,0.000000,0.000045,0.958309,0.958264,0,0
nnunet_2d_condlr,20260521,156052000030695,0.000000,-0.000390,0.976000,0.976390,0,0
nnunet_2d_condlr,20260521,156052000036762,0.001999,0.001308,0.936139,0.934831,94,1
nnunet_2d_condlr,20260521,156052000030703,0.000000,0.000116,0.976293,0.976177,0,0
nnunet_2d_condlr,20260521,156052000036792,0.443885,0.442037,0.975871,0.533834,18502,1
nnunet_2d_condlr,20260521,156052000036803,0.000000,0.000010,0.980251,0.980241,0,0
nnunet_2d_condlr,20260521,156052000037111,0.000000,-0.000876,0.957947,0.958822,0,0
nnunet_2d_condlr,20260521,156052000037130,0.000000,-0.000223,0.974973,0.975195,0,0
nnunet_2d_condlr,20260521,156052000037131,0.000000,-0.000000,0.983822,0.983823,0,0
nnunet_2d_condlr,20260521,156052000037132,0.000000,-0.000020,0.933871,0.933891,0,0
nnunet_2d_condlr,20260521,156052000037134,0.000000,-0.000108,0.976476,0.976584,0,0
nnunet_2d_condlr,20260521,156052000037142,0.053653,0.053106,0.980266,0.927160,3341,1
nnunet_2d_condlr,20260521,156052000037184,0.000000,-0.000195,0.972586,0.972781,0,0
nnunet_2d_condlr,20260521,156052000037201,0.000000,0.000822,0.971111,0.970290,0,0
nnunet_2d_condlr,20260521,156052000037404,0.000000,0.000030,0.964045,0.964015,0,0
nnunet_2d_condlr,20260521,156052000037636,0.000000,0.000031,0.982667,0.982636,0,0
nnunet_2d_condlr,20260521,156052000037670,0.000000,-0.000033,0.978413,0.978446,0,0
nnunet_2d_condlr,20260521,156052000037691,0.000000,-0.000027,0.976403,0.976430,0,0
nnunet_2d_condlr,20260521,156202411000033,0.000000,0.000027,0.975768,0.975742,0,0
nnunet_2d_condlr,20260521,156202411000574,0.000000,0.000096,0.981800,0.981704,0,0
nnunet_2d_condlr,20260521,206178_202851,0.000000,0.000007,0.970663,0.970655,0,0
nnunet_2d_condlr,20260521,205870_202923,0.000000,-0.000165,0.972918,0.973082,0,0
nnunet_2d_condlr,20260521,207541_202151,0.000000,0.000172,0.965278,0.965106,0,0
nnunet_2d_condlr,20260521,207633_204331,0.000000,0.000006,0.973282,0.973276,0,0
nnunet_2d_condlr,20260521,305810_305052,0.000000,0.000047,0.962088,0.962041,0,0
nnunet_2d_condlr,20260521,308240_310625,0.000000,-0.000017,0.956243,0.956260,0,0
nnunet_2d_condlr,20260521,308495_301122,0.000000,0.000397,0.954853,0.954457,0,0
nnunet_2d_condlr,20260521,308577_304377,0.000000,0.001119,0.938872,0.937752,0,0
nnunet_2d_condlr,20260521,313120_310061,0.000000,-0.000267,0.954366,0.954633,0,0
nnunet_2d_condlr,20260521,403339_402475,0.000000,-0.000001,0.950079,0.950080,0,0
nnunet_2d_condlr,20260521,404717_401091,0.000000,-0.000736,0.948263,0.948999,0,0
nnunet_2d_condlr,20260521,403390_402127,0.000000,0.000095,0.960885,0.960790,0,0
nnunet_2d_condlr,20260521,404728_401086,0.000000,0.002305,0.942585,0.940281,0,0
nnunet_2d_condlr,20260521,405948_400388,0.000000,0.001323,0.933938,0.932615,0,0
nnunet_2d_condlr,20260521,501877_500337,0.000000,0.000080,0.936737,0.936657,0,0
nnunet_2d,20260522,133140_114338,0.000000,0.000062,0.962395,0.962333,0,0
nnunet_2d,20260522,136518_122095,0.102473,0.101580,0.972412,0.870832,13414,1
nnunet_2d,20260522,136032_122089,0.000000,0.000003,0.965857,0.965854,0,0
nnunet_2d,20260522,136514_122984,0.019117,0.018647,0.968095,0.949448,2345,1
nnunet_2d,20260522,146478_111610,0.000000,0.000022,0.958699,0.958677,0,0
nnunet_2d,20260522,156052000030695,0.000000,-0.000301,0.979283,0.979583,0,0
nnunet_2d,20260522,156052000036762,0.058937,0.058257,0.941654,0.883397,2772,1
nnunet_2d,20260522,156052000030703,0.000000,-0.000031,0.983478,0.983509,0,0
nnunet_2d,20260522,156052000036792,0.854709,0.856381,0.977525,0.121144,35626,1
nnunet_2d,20260522,156052000036803,0.010057,0.009932,0.980709,0.970777,998,1
nnunet_2d,20260522,156052000037111,0.000000,-0.000264,0.970824,0.971088,0,0
nnunet_2d,20260522,156052000037130,0.000000,-0.000071,0.981457,0.981528,0,0
nnunet_2d,20260522,156052000037131,0.000000,0.000055,0.985843,0.985788,0,0
nnunet_2d,20260522,156052000037132,0.000000,0.000213,0.971399,0.971186,0,0
nnunet_2d,20260522,156052000037134,0.000000,-0.000042,0.981195,0.981237,0,0
nnunet_2d,20260522,156052000037142,0.220552,0.219459,0.986544,0.767085,13734,1
nnunet_2d,20260522,156052000037184,0.005259,0.005081,0.976777,0.971696,208,1
nnunet_2d,20260522,156052000037201,0.000000,0.000325,0.982471,0.982146,0,0
nnunet_2d,20260522,156052000037404,0.010464,0.010572,0.966320,0.955749,484,1
nnunet_2d,20260522,156052000037636,0.000000,0.000009,0.985129,0.985120,0,0
nnunet_2d,20260522,156052000037670,0.000000,-0.000033,0.977993,0.978026,0,0
nnunet_2d,20260522,156052000037691,0.000000,-0.000157,0.980081,0.980239,0,0
nnunet_2d,20260522,156202411000033,0.011934,0.012092,0.977888,0.965796,458,1
nnunet_2d,20260522,156202411000574,0.000000,0.000082,0.982677,0.982595,0,0
nnunet_2d,20260522,205870_202923,0.000000,-0.000070,0.977674,0.977744,0,0
nnunet_2d,20260522,206178_202851,0.000000,0.000008,0.974467,0.974458,0,0
nnunet_2d,20260522,207541_202151,0.000000,0.000136,0.966344,0.966208,0,0
nnunet_2d,20260522,207633_204331,0.000000,0.000012,0.976391,0.976378,0,0
nnunet_2d,20260522,305810_305052,0.000000,0.000022,0.961197,0.961175,0,0
nnunet_2d,20260522,308240_310625,0.000520,0.000713,0.958757,0.958043,46,1
nnunet_2d,20260522,308495_301122,0.053851,0.054511,0.962870,0.908358,5067,1
