network,seed,case_id,swap_rate,lp_dice_gap,merged_dice,split_dice,swap_voxels,has_swap
swinunetr,20260520,501877_500337,0.000000,0.000171,0.928078,0.927907,0,0
swinunetr,20260521,133140_114338,0.024193,0.024348,0.954267,0.929919,3043,1
swinunetr,20260521,146478_111610,0.000051,0.000102,0.954419,0.954317,6,1
swinunetr,20260521,136518_122095,0.096820,0.095654,0.964019,0.868365,12674,1
swinunetr,20260521,136032_122089,0.000000,0.000084,0.949232,0.949148,0,0
swinunetr,20260521,136514_122984,0.000000,-0.000061,0.958813,0.958874,0,0
swinunetr,20260521,156052000036762,0.000000,0.000133,0.975278,0.975145,0,0
swinunetr,20260521,156052000030695,0.048296,0.048800,0.968502,0.919703,1914,1
swinunetr,20260521,156052000030703,0.000000,-0.000362,0.962082,0.962444,0,0
swinunetr,20260521,156052000036792,0.005542,0.005628,0.975071,0.969443,231,1
swinunetr,20260521,156052000036803,0.001784,0.001780,0.978025,0.976245,177,1
swinunetr,20260521,156052000037111,0.000000,0.000299,0.955183,0.954884,0,0
swinunetr,20260521,156052000037130,0.000000,-0.000082,0.969443,0.969526,0,0
swinunetr,20260521,156052000037132,0.001641,0.001784,0.949164,0.947381,62,1
swinunetr,20260521,156052000037131,0.000000,-0.000008,0.980875,0.980883,0,0
swinunetr,20260521,156052000037142,0.040260,0.040807,0.977535,0.936727,2507,1
swinunetr,20260521,156052000037134,0.000000,-0.000012,0.967294,0.967306,0,0
swinunetr,20260521,156052000037184,0.000430,0.000274,0.967788,0.967514,17,1
swinunetr,20260521,156052000037201,0.000000,0.000497,0.970242,0.969745,0,0
swinunetr,20260521,156202411000033,0.000000,0.000002,0.972390,0.972388,0,0
swinunetr,20260521,156052000037404,0.003048,0.003388,0.958682,0.955294,141,1
swinunetr,20260521,156202411000574,0.000088,0.000193,0.977153,0.976960,6,1
swinunetr,20260521,156052000037636,0.121253,0.122486,0.981478,0.858992,6904,1
swinunetr,20260521,156052000037691,0.012440,0.012571,0.969125,0.956554,503,1
swinunetr,20260521,156052000037670,0.000000,-0.000008,0.973538,0.973546,0,0
swinunetr,20260521,205870_202923,0.001304,0.001095,0.967334,0.966239,224,1
swinunetr,20260521,206178_202851,0.000000,-0.000048,0.962501,0.962549,0,0
swinunetr,20260521,207541_202151,0.000000,-0.000527,0.942754,0.943281,0,0
swinunetr,20260521,207633_204331,0.000000,0.000071,0.965293,0.965222,0,0
swinunetr,20260521,305810_305052,0.002844,0.002901,0.951857,0.948956,373,1
swinunetr,20260521,308577_304377,0.000303,0.001018,0.939342,0.938324,30,1
swinunetr,20260521,308495_301122,0.000234,0.000905,0.930128,0.929223,22,1
swinunetr,20260521,308240_310625,0.000011,-0.000097,0.956115,0.956211,1,1
swinunetr,20260521,313120_310061,0.003436,0.003223,0.949442,0.946219,252,1
swinunetr,20260521,403339_402475,0.127917,0.132531,0.938354,0.805822,15952,1
swinunetr,20260521,404717_401091,0.002793,0.002212,0.949438,0.947225,257,1
swinunetr,20260521,403390_402127,0.245471,0.259679,0.947631,0.687951,26967,1
swinunetr,20260521,404728_401086,0.136973,0.143158,0.912906,0.769748,15619,1
swinunetr,20260521,405948_400388,0.000000,0.002396,0.919901,0.917504,0,0
swinunetr,20260521,501877_500337,0.000000,0.000025,0.932481,0.932456,0,0
swinunetr,20260522,146478_111610,0.011648,0.011876,0.952274,0.940398,1379,1
swinunetr,20260522,133140_114338,0.000127,0.000189,0.950858,0.950668,16,1
swinunetr,20260522,136518_122095,0.081526,0.080935,0.961967,0.881031,10672,1
swinunetr,20260522,136032_122089,0.000038,0.000239,0.949373,0.949134,5,1
swinunetr,20260522,136514_122984,0.000000,-0.000077,0.960789,0.960866,0,0
swinunetr,20260522,156052000036762,0.000000,0.000241,0.969312,0.969071,0,0
swinunetr,20260522,156052000030695,0.347380,0.431447,0.966245,0.534798,13767,1
swinunetr,20260522,156052000030703,0.000000,-0.000537,0.953095,0.953632,0,0
swinunetr,20260522,156052000036792,0.000000,-0.000146,0.976217,0.976363,0,0
swinunetr,20260522,156052000037130,0.000000,-0.000156,0.966568,0.966724,0,0
swinunetr,20260522,156052000037111,0.000000,-0.000100,0.953981,0.954082,0,0
swinunetr,20260522,156052000036803,0.000171,0.000192,0.978855,0.978663,17,1
swinunetr,20260522,156052000037134,0.000000,-0.000127,0.955291,0.955419,0,0
swinunetr,20260522,156052000037131,0.000000,-0.000091,0.978587,0.978678,0,0
swinunetr,20260522,156052000037132,0.006219,0.006413,0.950230,0.943818,235,1
swinunetr,20260522,156052000037142,0.007259,0.007197,0.979108,0.971911,452,1
swinunetr,20260522,156052000037184,0.000025,-0.000079,0.969535,0.969614,1,1
swinunetr,20260522,156052000037201,0.006895,0.007056,0.970032,0.962976,399,1
swinunetr,20260522,156052000037404,0.000000,0.000444,0.958210,0.957766,0,0
swinunetr,20260522,156202411000033,0.000000,0.000019,0.971880,0.971861,0,0
swinunetr,20260522,156202411000574,0.000000,0.000163,0.974654,0.974491,0,0
swinunetr,20260522,156052000037636,0.074079,0.074301,0.981177,0.906876,4218,1
swinunetr,20260522,156052000037670,0.000000,-0.000003,0.972417,0.972420,0,0
swinunetr,20260522,156052000037691,0.010387,0.010451,0.970758,0.960307,420,1
swinunetr,20260522,205870_202923,0.001274,0.001080,0.966212,0.965132,219,1
swinunetr,20260522,206178_202851,0.000000,-0.000023,0.960326,0.960349,0,0
swinunetr,20260522,207541_202151,0.000446,-0.000376,0.939732,0.940108,47,1
swinunetr,20260522,207633_204331,0.000000,0.000048,0.961852,0.961805,0,0
swinunetr,20260522,308495_301122,0.002126,0.002200,0.944396,0.942195,200,1
swinunetr,20260522,305810_305052,0.000168,0.000143,0.951825,0.951682,22,1
swinunetr,20260522,308577_304377,0.000010,0.000627,0.938590,0.937963,1,1
swinunetr,20260522,308240_310625,0.000000,-0.000050,0.955360,0.955410,0,0
swinunetr,20260522,313120_310061,0.000027,-0.000054,0.947665,0.947719,2,1
swinunetr,20260522,403339_402475,0.012181,0.012251,0.934783,0.922532,1519,1
swinunetr,20260522,403390_402127,0.285423,0.308932,0.947628,0.638697,31356,1
swinunetr,20260522,404728_401086,0.267316,0.285473,0.913432,0.627959,30482,1
swinunetr,20260522,405948_400388,0.000000,0.001051,0.935887,0.934836,0,0
